PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;cp-10;The organization provides for the recovery and reconstitution of the information system to a known state after a disruption, compromise, or failure.;Contingency Planning (CP);;;aws;;PASS;S3 Bucket research-secure-bucket has versioning enabled.;arn:aws:s3:::research-secure-bucket;s3_bucket_object_versioning;False;research-secure-bucket;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;sc-5;The information system protects against or limits the effects of the following types of denial of service attacks: [Assignment: organization-defined types of denial of service attacks or references to sources for such information] by employing [Assignment: organization-defined security safeguards].;System and Communications Protection (SC);;;aws;;PASS;S3 Bucket research-secure-bucket has versioning enabled.;arn:aws:s3:::research-secure-bucket;s3_bucket_object_versioning;False;research-secure-bucket;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;ac-3;The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.;Access Control (AC);;;aws;;PASS;S3 public access blocked at bucket level for aws-cloudtrail-logs-350381001508-dae76776.;arn:aws:s3:::aws-cloudtrail-logs-350381001508-dae76776;s3_bucket_policy_public_write_access;False;aws-cloudtrail-logs-350381001508-dae76776;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;ac-17;Authorize remote access systems prior to connection. Enforce remote connection requirements to information systems.;Access Control (AC);;;aws;;PASS;S3 public access blocked at bucket level for aws-cloudtrail-logs-350381001508-dae76776.;arn:aws:s3:::aws-cloudtrail-logs-350381001508-dae76776;s3_bucket_policy_public_write_access;False;aws-cloudtrail-logs-350381001508-dae76776;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;cm-2;The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system.;Configuration Management (CM);;;aws;;PASS;S3 public access blocked at bucket level for aws-cloudtrail-logs-350381001508-dae76776.;arn:aws:s3:::aws-cloudtrail-logs-350381001508-dae76776;s3_bucket_policy_public_write_access;False;aws-cloudtrail-logs-350381001508-dae76776;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;sc-7;"The information system: a. Monitors and controls communications at the external boundary of the system and at key internal boundaries within the system; b. Implements subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks; and c. Connects to external networks or information systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.";System and Communications Protection (SC);;;aws;;PASS;S3 public access blocked at bucket level for aws-cloudtrail-logs-350381001508-dae76776.;arn:aws:s3:::aws-cloudtrail-logs-350381001508-dae76776;s3_bucket_policy_public_write_access;False;aws-cloudtrail-logs-350381001508-dae76776;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;ac-3;The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.;Access Control (AC);;;aws;;PASS;S3 Bucket public-bucket-open does not allow public write access in the bucket policy.;arn:aws:s3:::public-bucket-open;s3_bucket_policy_public_write_access;False;public-bucket-open;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;ac-17;Authorize remote access systems prior to connection. Enforce remote connection requirements to information systems.;Access Control (AC);;;aws;;PASS;S3 Bucket public-bucket-open does not allow public write access in the bucket policy.;arn:aws:s3:::public-bucket-open;s3_bucket_policy_public_write_access;False;public-bucket-open;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;cm-2;The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system.;Configuration Management (CM);;;aws;;PASS;S3 Bucket public-bucket-open does not allow public write access in the bucket policy.;arn:aws:s3:::public-bucket-open;s3_bucket_policy_public_write_access;False;public-bucket-open;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;sc-7;"The information system: a. Monitors and controls communications at the external boundary of the system and at key internal boundaries within the system; b. Implements subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks; and c. Connects to external networks or information systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.";System and Communications Protection (SC);;;aws;;PASS;S3 Bucket public-bucket-open does not allow public write access in the bucket policy.;arn:aws:s3:::public-bucket-open;s3_bucket_policy_public_write_access;False;public-bucket-open;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;ac-3;The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.;Access Control (AC);;;aws;;PASS;S3 Bucket research-secure-bucket does not have a bucket policy.;arn:aws:s3:::research-secure-bucket;s3_bucket_policy_public_write_access;False;research-secure-bucket;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;ac-17;Authorize remote access systems prior to connection. Enforce remote connection requirements to information systems.;Access Control (AC);;;aws;;PASS;S3 Bucket research-secure-bucket does not have a bucket policy.;arn:aws:s3:::research-secure-bucket;s3_bucket_policy_public_write_access;False;research-secure-bucket;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;cm-2;The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system.;Configuration Management (CM);;;aws;;PASS;S3 Bucket research-secure-bucket does not have a bucket policy.;arn:aws:s3:::research-secure-bucket;s3_bucket_policy_public_write_access;False;research-secure-bucket;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;sc-7;"The information system: a. Monitors and controls communications at the external boundary of the system and at key internal boundaries within the system; b. Implements subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks; and c. Connects to external networks or information systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.";System and Communications Protection (SC);;;aws;;PASS;S3 Bucket research-secure-bucket does not have a bucket policy.;arn:aws:s3:::research-secure-bucket;s3_bucket_policy_public_write_access;False;research-secure-bucket;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;350381001508;us-east-1;2026-08-01 19:04:21.788096;ac-3;The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.;Access Control (AC);;;aws;;PASS;S3 Bucket aws-cloudtrail-logs-350381001508-dae76776 is not public.;arn:aws:s3:::aws-cloudtrail-logs-350381001508-dae76776;s3_bucket_public_access;False;aws-cloudtrail-logs-350381001508-dae76776;FedRAMP-Low-Revision-4;FedRAMP Low Revision 4;
